IP:Port,Loss,Latency
162.159.195.88:928,0%,12.46
162.159.195.98:890,0%,12.47
162.159.192.207:1387,0%,12.49
162.159.192.64:942,0%,12.52
162.159.192.208:1018,0%,12.69
162.159.195.10:4500,0%,12.84
162.159.195.33:955,0%,15.90
162.159.195.6:890,0%,16.38
162.159.195.237:859,0%,16.56
162.159.192.104:4177,0%,16.64
162.159.192.248:1701,0%,16.64
162.159.195.211:891,0%,16.95
162.159.195.139:1843,0%,16.99
162.159.192.159:988,0%,17.38
162.159.192.191:500,0%,17.43
162.159.192.143:987,0%,17.55
162.159.195.132:3138,0%,17.65
162.159.195.218:1843,0%,17.74
162.159.195.222:5956,0%,17.81
162.159.195.163:890,0%,17.82
162.159.192.164:854,0%,17.82
162.159.195.30:1010,0%,17.85
162.159.195.204:1843,0%,17.85
162.159.192.161:3854,0%,17.86
162.159.192.231:7103,0%,17.86
162.159.195.60:7559,0%,17.92
162.159.195.79:1701,0%,17.92
162.159.195.205:8742,0%,17.93
162.159.195.159:894,0%,17.97
162.159.195.28:945,0%,18.08
162.159.195.180:7559,0%,18.08
162.159.195.224:5279,0%,18.13
162.159.192.25:943,0%,18.14
162.159.195.53:1701,0%,18.15
162.159.195.102:1070,0%,18.16
162.159.192.188:1010,0%,18.22
162.159.192.151:1701,0%,18.25
162.159.195.9:3476,0%,18.27
162.159.195.12:7559,0%,18.40
162.159.195.156:908,0%,18.82
162.159.192.68:3476,0%,18.86
162.159.192.185:4177,0%,18.98
162.159.192.111:4500,0%,19.00
162.159.195.179:942,0%,19.00
162.159.192.52:4500,0%,19.13
162.159.195.180:1002,0%,19.14
162.159.192.177:4198,0%,19.14
162.159.192.172:7281,0%,19.19
162.159.195.117:1701,0%,19.19
162.159.192.93:942,0%,19.20
162.159.192.228:880,0%,19.29
162.159.192.127:1014,0%,19.31
162.159.195.143:859,0%,19.33
162.159.195.219:4198,0%,19.33
162.159.192.213:3476,0%,19.35
162.159.195.234:955,0%,19.42
162.159.192.122:1387,0%,19.49
162.159.195.188:4500,0%,19.62
162.159.192.61:1387,0%,19.64
162.159.195.36:1180,0%,19.64
162.159.192.118:934,0%,19.73
162.159.192.226:3581,0%,19.76
162.159.192.208:8854,0%,19.77
162.159.192.240:1018,0%,19.82
162.159.192.148:878,0%,19.85
162.159.192.30:880,0%,19.86
